FID,X,Y,Ano
748,-74.07880376,4.588131174,2010
749,-74.08133703,4.585204951,2010
750,-74.15334506,4.591720032,2010
751,-74.07897724,4.677666081,2010
752,-74.06724245,4.692050615,2010
753,-74.0850333,4.676994386,2010
754,-74.09076402,4.675473166,2010
755,-74.12715488,4.621584714,2010
756,-74.12163702,4.640777563,2010
757,-74.08921267,4.686112468,2010
758,-74.08670155,4.684026238,2010
759,-74.1305868,4.627214282,2010
760,-74.08849032,4.684215811,2010
761,-74.08805315,4.68505634,2010
762,-74.09189102,4.682347223,2010
763,-74.03076475,4.81174982,2010
764,-74.06360408,4.633721435,2010
765,-74.02328754,4.73693926,2010
766,-74.07028301,4.609569867,2010
767,-74.09545955,4.569675038,2010
768,-74.07017916,4.610025946,2010
769,-74.12832662,4.639276711,2010
770,-74.13852348,4.621542071,2010
771,-74.14189419,4.607403793,2010
772,-74.10994399,4.669022171,2010
