OBJECTID_1	Nombre	Direccion	Caracter	POINT_X	POINT_Y
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094571229500000	4640683118540000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094573805899900	4640684883230000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094576350799900	4640686692270000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094578864100000	4640688546410000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094581345099900	4640690444010000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094583791700000	4640692384030000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094586205100000	4640694367510000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094588583299900	4640696392520000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094590925399900	4640698459140000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094593231600000	4640700566390000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094595500699900	4640702713400000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094597732099900	4640704900220000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094599925599900	4640707125900000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094602079500000	4640709388650000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094604194599900	4640711689360000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094606268299900	4640714027140000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094609943500000	4640720112770000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74095197412600000	4641630693820000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094597964900000	4642017763050000
